Date,Portfolio Value,Asset 1,Asset 2,Asset 3,Asset 4,S&P 500 Index,Sector 1 Weight,Sector 2 Weight,Sector 3 Weight,Stock A,Stock B,Geographic Region 1 Weight,Geographic Region 2 Weight
2023-07-19,146351,4083,27952,41864,21057,4475,0.4555292455265160,0.2712836544587310,0.2731871000147530,0.6198415587046840,0.5192125325037390,0.5741720789516360,0.42582792104836400
2023-10-14,181234,4972,27890,44824,24039,4485,0.32589566670311400,0.34036566573820200,0.3337386675586840,0.6241066491852920,0.7476814473539780,0.5461087579963320,0.4538912420036680
2023-12-22,153970,4959,25784,43635,22048,4403,0.414735524480537,0.33350900941339200,0.2517554661060710,0.8348438678123440,0.7541274984069580,0.6288557866775760,0.37114421332242500
2023-06-03,127194,4708,26240,41132,22606,4480,0.486537130809627,0.254485692071542,0.258977177118831,0.9184894721413290,0.8013657674810100,0.6791311004759430,0.32086889952405700
2023-01-15,125381,5312,28680,42569,24847,4559,0.49333695933152000,0.28663035383901600,0.22003268682946400,0.8599799305371130,0.8203845832748400,0.6602292572152070,0.33977074278479300
2023-05-01,170876,4277,28060,43496,23167,4599,0.4689278638098400,0.30420891224810000,0.22686322394206000,0.8317107871235390,0.8441504212830770,0.5666310473114540,0.4333689526885460
2023-10-07,158050,5637,28773,41901,20624,4597,0.3215852871485190,0.273177214074523,0.40523749877695800,0.7378274186659690,0.7359002236380000,0.6496063736501770,0.3503936263498230
2023-10-07,168674,5915,29103,42264,24217,4486,0.41890991829348000,0.3689376471656220,0.21215243454089900,0.8203458476087920,0.7332332758537200,0.5311428917396780,0.46885710826032200
2023-04-14,174283,4241,25533,40720,21592,4489,0.45746732101360800,0.3170086137494020,0.2255240652369900,0.7663034882794670,0.5593092112222310,0.67012122467077,0.32987877532923000
2023-11-04,112812,5531,25978,40347,20906,4406,0.4878243101984080,0.2825809003741930,0.22959478942739800,0.9537918319676000,0.8439142097126500,0.5798967614485860,0.4201032385514140
2023-02-21,167177,5343,26572,42379,24686,4577,0.4046568400853670,0.24309637967441000,0.3522467802402230,0.8926404982234970,0.5158641515762230,0.6983863719217780,0.30161362807822200
2023-02-07,199996,5271,26827,42791,23616,4580,0.325233560699456,0.2105138658470940,0.4642525734534500,0.898615435959089,0.8325690008697260,0.5256037098142900,0.4743962901857110
2023-12-29,139527,4273,25992,42516,21216,4490,0.34167988019183000,0.2643770359176730,0.3939430838904980,0.6876117203179570,0.8236226417067920,0.600344542951305,0.399655457048695
2023-01-23,182578,5201,28286,44559,22737,4583,0.3288446504488400,0.37965041081919900,0.29150493873196100,0.988539473807669,0.5195165149604650,0.646168658567279,0.353831341432721
2023-05-27,137304,5850,28790,44281,20104,4441,0.4601627598974060,0.30485079249773000,0.23498644760486400,0.6090627282225000,0.5935005157708490,0.5762930426141390,0.4237069573858610
2023-01-24,163992,4707,25403,43919,23880,4416,0.34067440398077600,0.25237406585460400,0.4069515301646210,0.8034861106965200,0.7280037521877130,0.65024219537939,0.34975780462061
2023-03-29,134296,4875,26580,40188,22240,4499,0.37630441201371800,0.3140407866212890,0.30965480136499300,0.8429878620481620,0.6931802058721940,0.5509778066735400,0.4490221933264600
2023-07-09,184106,5174,29787,42337,24699,4553,0.33215418288061900,0.23676200600154500,0.43108381111783700,0.8255479934573390,0.7696358145390570,0.5248769566988830,0.4751230433011170
2023-07-05,156661,4661,25373,41824,22988,4501,0.3175663074812230,0.29424364160149400,0.3881900509172830,0.7950604120876060,0.6873380500256920,0.5657055228118950,0.4342944771881050
2023-03-04,135978,5560,29019,40574,21378,4549,0.42306385976624500,0.269596413416499,0.3073397268172560,0.889734309617308,0.7928802385819510,0.6735377437799430,0.3264622562200570
2023-04-18,161055,4623,29536,42836,24971,4506,0.30357024600792600,0.2028329695506170,0.49359678444145700,0.6410446191093170,0.8985547040610110,0.6326429667364090,0.3673570332635910
2023-02-26,102871,4037,25705,41287,20833,4563,0.3466942137437640,0.3680588964088540,0.2852468898473820,0.9655588048722050,0.8919228216233440,0.540659190689807,0.45934080931019300
